GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service,org.interview.bcs,BcsApplication,5,3,0,0,2,1,1,1,1,1
service,org.interview.bcs.domains.category.entites,Category,0,50,0,0,0,8,0,11,0,11
service,org.interview.bcs.domains.category.entites,Category.CategoryBuilder,32,30,0,0,0,1,2,5,2,5
service,org.interview.bcs.domains.category.service.impl,CategoryServiceImpl,1,279,2,20,1,68,2,19,0,10
service,org.interview.bcs.common,PageUtils,3,47,1,1,1,11,2,2,1,2
service,org.interview.bcs.common,ValidationUtils,38,31,4,2,8,8,4,3,1,3
service,org.interview.bcs.common,ValidationResult,15,6,0,0,3,2,4,2,4,2
service,org.interview.bcs.common,GlobalExceptionHandler,123,7,16,0,27,2,14,2,6,2
service,org.interview.bcs.common,BeanCopy,3,17,0,0,1,4,1,1,1,1
service,org.interview.bcs.common,SpringUtil,0,10,0,0,0,4,0,3,0,3
service,org.interview.bcs.common,BizException,7,4,0,0,2,2,2,1,2,1
service,org.interview.bcs.domains.category.components,CategoryScheduler,8,15,0,0,4,6,1,3,1,3
service,org.interview.bcs.domains.category.cache,CategoryCache,17,71,2,2,3,16,4,8,2,8
service,org.interview.bcs.domains.category.cache,CategoryChangedEvent,0,9,0,0,0,3,0,2,0,2
service,org.interview.bcs.domains.category.cache,CategoryListener,0,5,0,0,0,3,0,2,0,2
service,org.interview.bcs.domains.author.controller,AuthorController,0,34,0,0,0,9,0,4,0,4
service,org.interview.bcs.domains.book.service.impl,BookServiceImpl,3,268,5,23,0,61,5,16,0,7
service,org.interview.bcs.domains.book.controller,BookController,6,45,3,3,2,12,3,4,0,4
service,org.interview.bcs.domains.author.entities,Author,0,38,0,0,0,7,0,11,0,11
service,org.interview.bcs.domains.author.service.impl,AuthorServiceImpl,0,185,0,12,0,45,0,13,0,7
service,org.interview.bcs.domains.category.controller,CategoryController,0,25,0,0,0,6,0,4,0,4
service,org.interview.bcs.domains.book.entites,Book,0,87,0,0,0,14,0,25,0,25
